Serial No.,Course,Status,Course Type,Course Variant,Academia+LMS,Student ID,Student Name,Program,Batch,Period,Enrollment Date,Primary Faculty
608,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-BA-AIM802,,6be991d3d20ff05222a49ab425faa3b8710500ebd3ca1a41e4b1015d0b42ba98,999fcc19660695f7be61b924a2a5ebf88560a227726275e8bd07605db2c1857d,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],31/07/24,Ashok Balakrishnan
609,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-BA-AIM802,,6d0011ea1e9ffded9000317777b86ffd392e27f5e8e7dc7881bf9d7d72139074,e28087027b6b9d5db89821937ae1b798b6093877eaf981e6f86d3e96bcb2b342,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],31/07/24,Ashok Balakrishnan
610,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-BA-AIM802,,5c5575e5c3ffa656112f2008cac4a9244c4449c6d2a287a78b5e3edd52ae8432,9a489bc0ce2d84e59ed8664893a535c215d2079b3d779fb28860cdc6882abd8d,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],31/07/24,Ashok Balakrishnan
611,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-BA-AIM802,,1b10a887aac6ee70c0d47a5509e507f0289f7c49d849bf56d8e0d8ac2311a4f9,6ac8db13c6c077341c167c1957035e3040b9bf6de22f0c46d1085c92f2ada0f7,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],31/07/24,Ashok Balakrishnan
612,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-VR-AIM802,,8c499ec74457e1493e5630e2af1c83db6a61fb9d62354263d5d08aabca8e4418,20c44e684ce001cf5002966662a33d3dcc039a5c023161360015ed0268bb62f7,Integrated Master of Technology ECE,2022-27 iMtech ECE,Term I [2024-25],29/07/24,Vinod Reddy
613,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-MR-AIM802,,77850665509f6ed824c7921676b8930940ee8057bf8c1efbe7e20f31bedba524,5b72de4608e043627d632d3158df716026517c41fff4a421374f484ab68cf1b6,Integrated Master of Technology ECE,2022-27 iMtech ECE,Term I [2024-25],31/07/24,Madhav Rao
614,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-MR-AIM802,,e5509973f83c16ba7f99a7803f8b80a757dc919b0a06cb0035f502766e736c98,93a60a4ce5bac5e85184d3e3334d53337855e2a3ac0588a7fe04721e9bec4098,Integrated Master of Technology ECE,2022-27 iMtech ECE,Term I [2024-25],30/07/24,Madhav Rao
615,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-MR-AIM802,,6ecc192a1cb7ed8cf884318ea4a73a8a35392aff32df7a9b53f21ffeb441b3e6,80b65b7c77e229d04897ad08356e11cca21cf1863f90ed321bc3882056616127,Integrated Master of Technology ECE,2022-27 iMtech ECE,Term I [2024-25],31/07/24,Madhav Rao
616,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-RB-AIM802,,3859fb1d13b306c9b1e57793ea215915dfd5adcb704846582ccba2f3dbfc1d70,bf9cedee8c2c9a742b0c18c503a3d7fd1c6fb977815fb2ccfb1483884a2e92a9,Master of Science By Research,MS Batch of 2022,Term I [2024-25],30/07/24,Raghuram Bharadwaj
617,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-VIN-AIM802,,737336adf9737c854594cbeca5461ba0493a3c0572151a3c83cacb0df8937c77,f07db7a81abaf037da15a868cd7eab89428edfda6cbcb27163bd6086a3b4a89a,Master of Science By Research,MS Batch of 2022,Term I [2024-25],07/08/24,Vinu E V
618,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-RB-AIM802,,a9f9c58a2e5b079410748ab77881de6e48e1c1f938e1b16fddcfc2a0a94c30ac,3e496a4106adc8e090f105ca9e82f88a75d8e6723b644e39fa432332f100997a,Master of Science By Research,MS Batch of 2023,Term I [2024-25],07/08/24,Raghuram Bharadwaj
619,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-RB-AIM802,,5d7799b46ed3c5e2a0d45f6444cd91efda0c9d4c89ba7b2cac9d8e65f5acdd94,12324eb9355064d6e3971dd3c7521373336104842eb4787045d9a563be2ee45a,Master of Science By Research,MS Batch of 2024,Term I 2024-25,06/08/24,Raghuram Bharadwaj
620,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-JSN-AIM802,,95962c7d81eb9ecbfe8bd0c1edd6bce3751e4fecaac1fb6fc02b0c4d4cd982f4,2cb32d0986278cdc6131560c7f136b61bf867aee591cf1a6e3dbd52612223084,Master of Science By Research,MS Batch of 2024,Term I 2024-25,07/08/24,Jaya Sreevalsan Nair
621,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-RB-AIM802,,cce428fe0b9d509ceb3b52094ad39a03ed4a4920287bde92ad1df2c28a0c9400,4f2a9af570cff2f24573a7157dec547fe312b28ab8ad4dfad315ea3d82626d17,Master of Science By Research,MS Batch of 2024,Term I 2024-25,06/08/24,Raghuram Bharadwaj
622,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-RB-AIM802,,ffba274d8a68b64e86980a5d807a0057faa389d2c7a5857424d47dc960e8c434,67530dd8202b82b761bc3be2325e34b52ca009c0f49f76d3fa6426cbbac4b868,Master of Science By Research,MS Batch of 2024,Term I 2024-25,07/08/24,Raghuram Bharadwaj
623,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-UK-AIM802,,dd6bc448c9dda080f467041f9f7194114aecda3b3affe37f76e8fda4fc83ba6b,84c97ad8f8947a9b81a90d945ed63a75018ff6f76a07fc8c8e9361ddfa0ef5a2,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,30/07/24,Uttam Kumar
624,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-RB-AIM802,,c035f7ebc5b482344cd9593d13d788321fd6150145814471aded063752e7e08c,31f8910b6c91c3e92b24586775617edde30358c4e2dc35258c580ff3d13f7fc4,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,24/07/24,Raghuram Bharadwaj
625,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-UK-AIM802,,64b43d9d8f8a398e2cc0f76eb506c27f9b58a4de254e12164a4e8b601a08485d,6f568b324cc6da4365ae8b6f8fcc65626fb246520d73d25d4e100b446c65ab88,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,31/07/24,Uttam Kumar
626,AIM 802 / Reading Elective,,RE/PE/THESIS,AIM 802/Reading Elective/Term I 2024-25/T124-RB-AIM802,,1c61d5cd68ced251f5a6ce6b1ee27cb4878d8f702a9a8bf4e44553f49aee1646,87ff9a5569a257ce8d89517d3a5457cdbe241c0f00da3f19e46bab8a9636b5ff,Doctor of Philosophy-Part time,2024,Term I 2024-25,07/08/24,Raghuram Bharadwaj
627,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,a586b44ccd61f42648d36762390770c9f8b19c432a9e876825a333356e7dfe4a,88eb76519d7eda2e1c78aedbdd681087a76d155fcd787888534b08e1ac6fec01,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],29/07/24,Viswanath G
628,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,5b65acbb715edf40aad6166d5d6165fbcbf2045d822244f65b7aee36838ecc8c,0e3fff831226e472e5fe76feaa8c5edfa5c58372513ee11c790dd917e9cbc0d5,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],30/07/24,Viswanath G
629,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,78582befb7a500aee364746054752c0ba43769d30393aaa7cfa6bb45cae128c9,3c9b7b6d169aa8d090b7c1a97bdb8c62cbd5cda9453f6ade7bb9b43ae12084c6,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],31/07/24,Viswanath G
630,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,6e6dc5a6d7537775743a6d89a27cb4718bf818b47ff08171080fbc7d5294bf89,52a75cd0994c54fdd1d752b22253c21593a79520aee598a5ad8c3aef8c6bce5c,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],29/07/24,Viswanath G
631,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,6d834767a6f54d7534ad52ba216a7f4a89007632c95ba15afd2a2701b23c8b3a,c514937386fb318211c968cb607744661927fbe94b3c3602bbeae78d6463dad5,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],30/07/24,Viswanath G
632,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,27ebc1d7be6b5afcea07a44fa3fd10c6d910aa4d346e68f72f4658dbb92f7b2b,73c7d181e62996d7d974a21a6ffbf1c945c8e5268b420c47663611cad433c6dc,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],31/07/24,Viswanath G
633,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,fcb46059e76f74b793cb1432f7f8857013d729f4c9ae96e2b153cab68c03bb43,6da97d67c56af1ae06892f143a28577430210f0e153ca0a95471dcb10308e328,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],06/08/24,Viswanath G
634,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,a0fd2a2a32c5a24f0a340b57650ecb9e605bb21ef7b2b76b68d8fd1b409c71f6,500bafb9237ed0d1021539161c206839dcb2ef0e49a4001db74743787818c054,Master of Science By Research,MS Batch of 2024,Term I 2024-25,05/08/24,Viswanath G
635,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,b8738af49324b6ae248d6bffc588c2a50d7e05a86655509248aded3519ecfbbb,a58df0e50b0cd29d1bd00a840244d6b98840b219eb988dbad299c7c22b0937d9,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,01/08/24,Viswanath G
636,AIM 836 / 3D Vision,,REGULAR,AIM 836/3D Vision/Term I 2024-25/T1-24-25-AIM 836,,d9cd245e28f002454a91f1e5ebe9b6e46d3e878a4609521534314f6b3e9491ec,08d5b026019e5408ab6773d721c9017c54cc18d984ef7e668cfe0fe5949291ec,Doctor of Philosophy,PhD Batch of 2024,Term I 2024-25,05/08/24,Viswanath G
637,AIM 839 / ML Production Engineering,,REGULAR,AIM 839/ML Production Engineering/Term I 2024-25/T1-24-AIM839,,7d82f2db3913b1ae666ec7469ddf80e41cef84c538d83a1fc79d6859e746a5b6,98fa6cf545c78f7349ef0e8457c01d0bd106302c91053ce4fd2703f6d75875bf,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],06/08/24,Soma Dhavala
638,AIM 839 / ML Production Engineering,,REGULAR,AIM 839/ML Production Engineering/Term I 2024-25/T1-24-AIM839,,27ebc1d7be6b5afcea07a44fa3fd10c6d910aa4d346e68f72f4658dbb92f7b2b,73c7d181e62996d7d974a21a6ffbf1c945c8e5268b420c47663611cad433c6dc,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],07/08/24,Soma Dhavala
639,AIM 839 / ML Production Engineering,,REGULAR,AIM 839/ML Production Engineering/Term I 2024-25/T1-24-AIM839,,ec355d56e7232b66b63236e777c521e5a7432ed5f5411d6bb3edfffeaa672605,f8a2d2a2aba925a51541565ea76c048b0a097e224571e33062a0bb7636284348,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],06/08/24,Soma Dhavala
640,AIM 839 / ML Production Engineering,,REGULAR,AIM 839/ML Production Engineering/Term I 2024-25/T1-24-AIM839,,fbcabc979c2a0425415916825de46ee88bf6764885a26f1b96c141c7521e516d,654e39ac3a10c9cdfd7bdc958cacbc5d1b36d5856c743ca9720760ccc21e7df2,Integrated Master of Technology ECE,2021-26 iMtech ECE,Term I [2024-25],07/08/24,Soma Dhavala
641,AIM 839 / ML Production Engineering,,REGULAR,AIM 839/ML Production Engineering/Term I 2024-25/T1-24-AIM839,,76051e8a3ad30f919eaa4f3bdb03c4d1582b21e58724b95a5695372f75a693c6,e5b3c4b6b11fe157c0de1c8021d833ae09c9236b8a3ca0798a1a0bb95bf10765,Master of Science By Research,MS Batch of 2022,Term I [2024-25],07/08/24,Soma Dhavala
642,AIM 839 / ML Production Engineering,,REGULAR,AIM 839/ML Production Engineering/Term I 2024-25/T1-24-AIM839,,fb81ea55c2f8915c7549b009012ae5b57e221256ec250a9a5dfa99ca9a690b18,4888a894950c6b78741aedd7b6aaf87a60ecfc2ce177c8760fa3c32a4dc25be4,Master of Science By Research,MS Batch of 2022,Term I [2024-25],06/08/24,Soma Dhavala
643,AIM 839 / ML Production Engineering,,REGULAR,AIM 839/ML Production Engineering/Term I 2024-25/T1-24-AIM839,,d011632046a3b0c5017aa6e459a6fc53c25402e6dbb13ed762669add1b105710,7a3cdb22a8cbbfd1a9860f823b0acf1389b1a5ee939101b69e0a68c5493431e1,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,06/08/24,Soma Dhavala
644,AIM 839 / ML Production Engineering,,REGULAR,AIM 839/ML Production Engineering/Term I 2024-25/T1-24-AIM839,,43176ef803dda97ea1f569014a2fb60101b6d7f3e309c79d0c385f16e201ba54,c84d44dc24898f8304fd7fe5cff0174a4fc221ba46ee785709d58e0d92ac3977,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,07/08/24,Soma Dhavala
645,AIM 839 / ML Production Engineering,,REGULAR,AIM 839/ML Production Engineering/Term I 2024-25/T1-24-AIM839,,758b25915c275afc1e500ebaad9fbecf9f246041cdb09593939fe7e22af6602a,a69b041e6f54a3e5fb3a74903fa181263fc12f7182534e3385611744d7243115,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,07/08/24,Soma Dhavala
646,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,a5cefb0db95f5e1ba651cd77df44dca4a73d98da7aac3ff64c1b76ac6f43b63b,bf0e562f702a341f8cf5e15e7e71df2a680fd36ad01bca24bc110fe03a14ad5c,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],25/07/24,V Ramasubramanian
647,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,5a6b89d5721c6bd3e9e36e5d1a222598e3c10e76e12b4114a77a6dd387ac49c4,e73f727c4e25c070bbbf9f2669760c390c98412421560b61d83be4b7642d2c81,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],30/07/24,V Ramasubramanian
648,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,1b3798c2aae81fb70a75928788648c46b4835c95319373a3a531885fa94b50dd,1af305d08982637180ed7d93b97f56865225134e5f704933f5e3cd30ecd7fa0d,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],24/07/24,V Ramasubramanian
649,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,59aa1d265105a43d6a3549928650b49ad2e1b58c1adb730a3fe012396dc8393e,510ac127cb408e1a2a1f73ae1dbf807bcff95f4bc5f4803615053b93776d9848,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],29/07/24,V Ramasubramanian
650,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,4555229f006970405c8ee511a082f25ea73387d0a0689d1f7751b4846ad75f54,9d1598c95fa8e357a346f8ce2509221c112488f48e47e110ce11e3778fd36545,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],31/07/24,V Ramasubramanian
651,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,12a5257534033eb28296f2ea22d640baa03ec885dac4f616645447ac673c226e,7c9c5a157176ae3a6fe7acec9367e3fe187c7dd7228077b396063fb3735e659c,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],07/08/24,V Ramasubramanian
652,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,97c44e69c3e30f71c912f34c5c01799dcb5b78f5aba4ba3d480afa9a9a85c5e0,6c8dbae9864874f0845f1411d2ca03090c27617c08678488dae75b09ef70732c,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],04/08/24,V Ramasubramanian
653,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,ee984871e7a6e5f5efb5213d689170a09e39c48f9d4e9245b5706efcb0f0297a,1369f9348661ca452fc550df69fdf1150b700655a27448a5c1409453d32e487e,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],28/07/24,V Ramasubramanian
654,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,232e2b5bdbbb238eff8737d59222ffa1c0d3b70bce3d55e6cbb6a0b83febf21e,5861d7e570d951fd5ee2725bafc7567fc1b29b4998ad1b33397090e71b0afb15,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],29/07/24,V Ramasubramanian
655,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,b3921482bb7ccf1e392fe07f92b2128ad2235086e62eff9159f5485bda8fc6d5,e6c6af1d2144d69902102a27da6f684e4dbc9851296717d5574919a3cd723bff,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],31/07/24,V Ramasubramanian
656,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,ec355d56e7232b66b63236e777c521e5a7432ed5f5411d6bb3edfffeaa672605,f8a2d2a2aba925a51541565ea76c048b0a097e224571e33062a0bb7636284348,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],02/08/24,V Ramasubramanian
657,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,8bc6bb96e00acb88ee954fc1702afb48a2d1ea05309d90f3dfedb3a155a6d06e,4850407845c94b6a035e259ba278d221bad9542c8d44e68502840b6490d1573a,Master of Science by Research-Part time,2021,Term I [2024-25],07/08/24,V Ramasubramanian
658,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,f6b425482bb80f3beca952242672e6e563cd4a278cceab4ca56653f25e8150d5,f5cdc2e8373c79a2f12bbb8f202e7865445a15674ac0b33f1968d985974aceb1,Master of Science By Research,MS Batch of 2023,Term I [2024-25],31/07/24,V Ramasubramanian
659,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,6c539db8e2b75a31f0c6e05838cda44bb7c7e4c9b14349615442e5ead3ee7fe3,cadd19f32b7adf28605e0d68368bc4566bcac90f155412e381d45333d2db3074,Master of Science By Research,MS Batch of 2024,Term I 2024-25,07/08/24,V Ramasubramanian
660,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,088e98f2fabb6d9637653e44c033c9b5cede3e33bc1b0b5507d1978b2d576903,31bae2dfe8c9183873649a431a576b41965541fd874fdf676a41c8d1ddf0d62b,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
661,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,959d3d7c96e926dbeb2dccf5d871684a80614e94baf05b004fbe6d211ea4ea87,72f420038c9519c2376983ba682ef571f9e4faa7c6a9858ccfada961b14cb0f7,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
662,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,5d4c4b17627e4e27c8833a6b89d467b53026b8e0d6fad5489dea5fbe315bf53c,d36bb8e5c6054da40373051e727bca165cd51894e25b007c9e34ea2af43a5773,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,25/07/24,V Ramasubramanian
663,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,207f89dc24badc5dd13ab2df384a7727a11e191b5fb19f1cb099e06b2f609bc3,ba4510a6ce6739dc703532c3688ad8d3de993acb4400af84bf1ba15b7081e6de,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,24/07/24,V Ramasubramanian
664,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,5ca57be16a0a8f35cf6d40c9273eb60de2618dd758b84858fd45e0e5bc8ef63d,a12abe39750118b22dca4fe008558e283a9f15a17ea48d749e848f410f53b343,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
665,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,a03e734a4940104d458e7728613369b5567b392c18699bce47a347c2d3711988,2c415c0c5052f33af82150dd2c4fd569a502f4d639beebc8a33ce3a8a4195204,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
666,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,090b08d5435792ee126d0f07e88359036880812e5d9df5c175addd97ebc3668f,6421359010ee4d9127cf9227ea1a3962902494c82be15cb6a3ba58c0411c3e17,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
667,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,9ffb5eab206de410c5a0eaaf066e206a5f77d094cebb7b3f569f24c81fca4b82,2181bf5e2e266c4e32b333d6a2e39d62a79f95a247c34da56fc1c6d517953b78,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
668,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,193123c9cb480b4c6bfe4c499807fadde13fda37cce09ccb1c6755b6449fec78,81a309eec8662028697732dd2bcd5c903f7c5820329a66f6b12117d374aecbf4,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,06/08/24,V Ramasubramanian
669,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,d5c41f56ebceb01d168ebe89c397b106f917d3aabc9b79c21f329c0a157e0c74,4f21e1273834fe048e7979f3be4bce104c9c6251684c64bae3487005dca005ce,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
670,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,bc2d622d85f4fe00f5049730882d15b977e55b1663b861ad9d870e91bc575eeb,dbefaa4617504c2aed1b27cfb1f47d1169ce4956ed80325d13b3b172f9022a28,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
671,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,955def0988b6bd21937994250a393ac3a60958241a3beeefcfbd812f48e030a7,d5aac4f0a723e6eab0ef0852e0b4eba4bf58b06a343e66f6b4bee4743df006e1,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,30/07/24,V Ramasubramanian
672,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,f495b14ea4134f852eb1f0490137b78414cd1229c4035cd972d0a96d3bafe029,220dc3c798128422846e523195e714a020a2b53e4bc6ffd11cba80b0e4e7f9af,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
673,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,fb3cdbc74edef94fc7e79b737ab55ee47a58e8e3262ca1e0d60eb77907dcf905,3efd27807be500c2222ef926b85ccc315b9b7b06e2c78fd85a732170340eded0,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,30/07/24,V Ramasubramanian
674,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,b8738af49324b6ae248d6bffc588c2a50d7e05a86655509248aded3519ecfbbb,a58df0e50b0cd29d1bd00a840244d6b98840b219eb988dbad299c7c22b0937d9,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,24/07/24,V Ramasubramanian
675,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,992183d855d392aec0c2c7cbb16379b736b7d07dfd413d0effa999fd60b0a4cb,495b8133172b9157c3366565c3f53b6d50feecfe9a6ce07bbffe349c2c2ee824,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
676,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,c5d5a8b2aaa8c65c371aeda564f00c44e926f5136b71fdbfb261ba88c8bbe42f,d7225f0b4fa235b5cb98516f2fe2a53ba5579a2f88d8d1ff99bbbfe2b916f305,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,24/07/24,V Ramasubramanian
677,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,72cfa5161fc23682807d1822edd70507c4b216a7990882e16193419e2b6b83c6,46a0c3cd6ba461299acf153830dc3f4883bf13f2dd65869dbbecab5fb1b2faf4,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,23/07/24,V Ramasubramanian
678,AIM 840 / Self-Supervised Learning,,REGULAR,AIM 840/Self-Supervised Learning/Term I 2024-25/T1-24-25-AIM 840,,d24cc427daa713946b7186bd721e6c2a33db780dc2b6eca491909b350227ac7a,f6b24c7f44430d1bb368e69cce0b0bda755001228916064827d7e65742e6d67a,Master of Technology CSE,2023-2025 CSE,Term I 2024-25,07/08/24,V Ramasubramanian
